image_path,label,image_id,lat,lng,split
train\DUAL\ed_0064_apartments_lat4p670905_lonn74p044871_h304p8_d.jpg,DUAL,ed_0064_apartments_lat4p670905_lonn74p044871_h304p8_d,4.670904850000002,-74.04487145,train
train\PC\ed_0065_generic_lat4p636486_lonn74p064387_h126p5_d.jpg,PC,ed_0065_generic_lat4p636486_lonn74p064387_h126p5_d,4.636486349977681,-74.06438720585834,train
train\MAS\ed_0069_house_lat4p629145_lonn74p065644_h199p0_d.jpg,MAS,ed_0069_house_lat4p629145_lonn74p065644_h199p0_d,4.629145263174124,-74.06564407944926,train
train\PC\ed_0071_house_lat4p629259_lonn74p065137_h300p3_d.jpg,PC,ed_0071_house_lat4p629259_lonn74p065137_h300p3_d,4.629258644698332,-74.0651370001568,train
train\PC\ed_0070_generic_lat4p678941_lonn74p049032_h25p6_d.jpg,PC,ed_0070_generic_lat4p678941_lonn74p049032_h25p6_d,4.678940849999999,-74.0490317,train
train\MAS\ed_0075_generic_lat4p629229_lonn74p067434_h75p9_d.jpg,MAS,ed_0075_generic_lat4p629229_lonn74p067434_h75p9_d,4.629229265436614,-74.06743443283932,train
train\PC\ed_0076_apartments_lat4p674624_lonn74p050685_h197p7_d.jpg,PC,ed_0076_apartments_lat4p674624_lonn74p050685_h197p7_d,4.674624252764623,-74.05068451804486,train
train\MAS\ed_0077_apartments_lat4p681749_lonn74p056426_h12p2_d.jpg,MAS,ed_0077_apartments_lat4p681749_lonn74p056426_h12p2_d,4.6817493500000005,-74.05642555,train
train\PC\ed_0078_apartments_lat4p674272_lonn74p046269_h107p4_d.jpg,PC,ed_0078_apartments_lat4p674272_lonn74p046269_h107p4_d,4.6742725,-74.0462691,train
train\PC\ed_0081_generic_lat4p672386_lonn74p058931_h301p9_d.jpg,PC,ed_0081_generic_lat4p672386_lonn74p058931_h301p9_d,4.672386099999999,-74.05893085,train
train\DUAL\ed_0085_apartments_lat4p662644_lonn74p048318_h41p5_d.jpg,DUAL,ed_0085_apartments_lat4p662644_lonn74p048318_h41p5_d,4.66264389803399,-74.04831828366446,train
train\PC\ed_0090_generic_lat4p633468_lonn74p063629_h102p5_d.jpg,PC,ed_0090_generic_lat4p633468_lonn74p063629_h102p5_d,4.633468128371846,-74.06362866908809,train
train\PC\ed_0089_apartments_lat4p679919_lonn74p039876_h35p9_d.jpg,PC,ed_0089_apartments_lat4p679919_lonn74p039876_h35p9_d,4.679919317980808,-74.03987649711895,train
train\PC\ed_0088_apartments_lat4p668441_lonn74p046071_h105p9_d.jpg,PC,ed_0088_apartments_lat4p668441_lonn74p046071_h105p9_d,4.668440898131283,-74.0460709413515,train
train\PC\ed_0091_generic_lat4p682282_lonn74p043816_h288p9_d.jpg,PC,ed_0091_generic_lat4p682282_lonn74p043816_h288p9_d,4.682282367101222,-74.04381579925189,train
train\PC\ed_0096_apartments_lat4p650413_lonn74p062379_h110p8_d.jpg,PC,ed_0096_apartments_lat4p650413_lonn74p062379_h110p8_d,4.6504127495041,-74.06237909304782,train
train\PC\ed_0097_generic_lat4p662781_lonn74p058633_h295p7_d.jpg,PC,ed_0097_generic_lat4p662781_lonn74p058633_h295p7_d,4.66278115,-74.0586325,train
train\DUAL\ed_0099_generic_lat4p643480_lonn74p063592_h207p1_d.jpg,DUAL,ed_0099_generic_lat4p643480_lonn74p063592_h207p1_d,4.64347955,-74.0635918,train
train\PC\ed_0101_generic_lat4p660847_lonn74p049717_h38p5_d.jpg,PC,ed_0101_generic_lat4p660847_lonn74p049717_h38p5_d,4.660847297791059,-74.04971659872936,train
train\DUAL\ed_0102_generic_lat4p661936_lonn74p056566_h222p8_d.jpg,DUAL,ed_0102_generic_lat4p661936_lonn74p056566_h222p8_d,4.661936476009434,-74.05656631176093,train
train\DUAL\ed_0103_generic_lat4p682116_lonn74p057388_h95p4_d.jpg,DUAL,ed_0103_generic_lat4p682116_lonn74p057388_h95p4_d,4.68211575,-74.057388,train
train\MAS\ed_0104_generic_lat4p680608_lonn74p045587_h17p7_d.jpg,MAS,ed_0104_generic_lat4p680608_lonn74p045587_h17p7_d,4.6806082506690005,-74.04558741712142,train
train\DUAL\ed_0107_apartments_lat4p682089_lonn74p057308_h98p8_d.jpg,DUAL,ed_0107_apartments_lat4p682089_lonn74p057308_h98p8_d,4.682089200041535,-74.05730830527494,train
train\DUAL\ed_0110_apartments_lat4p668310_lonn74p045011_h126p4_d.jpg,DUAL,ed_0110_apartments_lat4p668310_lonn74p045011_h126p4_d,4.668310475434803,-74.04501091198316,train
train\DUAL\ed_0112_apartments_lat4p674084_lonn74p046841_h295p5_d.jpg,DUAL,ed_0112_apartments_lat4p674084_lonn74p046841_h295p5_d,4.674083986807488,-74.04684078363275,train
train\DUAL\ed_0114_office_lat4p654266_lonn74p054016_h213p7_d.jpg,DUAL,ed_0114_office_lat4p654266_lonn74p054016_h213p7_d,4.654266094010108,-74.05401603712514,train
train\MAS\ed_0116_house_lat4p629536_lonn74p066124_h278p7_d.jpg,MAS,ed_0116_house_lat4p629536_lonn74p066124_h278p7_d,4.629535547007298,-74.06612369628252,train
train\PC\ed_0118_apartments_lat4p650429_lonn74p063222_h105p7_d.jpg,PC,ed_0118_apartments_lat4p650429_lonn74p063222_h105p7_d,4.650428874377989,-74.06322193024795,train
train\MAS\ed_0119_commercial_lat4p678239_lonn74p048758_h214p7_d.jpg,MAS,ed_0119_commercial_lat4p678239_lonn74p048758_h214p7_d,4.678238687863509,-74.04875777080642,train
train\MAS\ed_0120_generic_lat4p640518_lonn74p064844_h99p2_d.jpg,MAS,ed_0120_generic_lat4p640518_lonn74p064844_h99p2_d,4.640518326817843,-74.06484407875122,train
train\DUAL\ed_0122_generic_lat4p675349_lonn74p053970_h27p3_d.jpg,DUAL,ed_0122_generic_lat4p675349_lonn74p053970_h27p3_d,4.675348550000001,-74.05396970000001,train
train\PC\ed_0123_generic_lat4p678917_lonn74p046407_h279p9_d.jpg,PC,ed_0123_generic_lat4p678917_lonn74p046407_h279p9_d,4.67891690086457,-74.04640690186214,train
train\DUAL\ed_0127_apartments_lat4p651658_lonn74p052277_h113p5_d.jpg,DUAL,ed_0127_apartments_lat4p651658_lonn74p052277_h113p5_d,4.65165763985457,-74.05227710383349,train
train\MAS\ed_0128_generic_lat4p670898_lonn74p058646_h121p4_d.jpg,MAS,ed_0128_generic_lat4p670898_lonn74p058646_h121p4_d,4.670897886620276,-74.05864553085821,train
train\MAS\ed_0129_generic_lat4p632608_lonn74p064381_h198p7_d.jpg,MAS,ed_0129_generic_lat4p632608_lonn74p064381_h198p7_d,4.6326077937199,-74.06438093133886,train
train\DUAL\ed_0130_generic_lat4p678088_lonn74p044979_h298p9_d.jpg,DUAL,ed_0130_generic_lat4p678088_lonn74p044979_h298p9_d,4.678088006501612,-74.04497874384936,train
train\PC\ed_0131_generic_lat4p676029_lonn74p041022_h281p5_d.jpg,PC,ed_0131_generic_lat4p676029_lonn74p041022_h281p5_d,4.67602925,-74.04102245000001,train
train\MAS\ed_0133_generic_lat4p648877_lonn74p060451_h203p9_d.jpg,MAS,ed_0133_generic_lat4p648877_lonn74p060451_h203p9_d,4.648877267383348,-74.06045119496693,train
train\PC\ed_0136_generic_lat4p678220_lonn74p046337_h109p3_d.jpg,PC,ed_0136_generic_lat4p678220_lonn74p046337_h109p3_d,4.678220105894063,-74.04633671808713,train
train\PC\ed_0139_retail_lat4p675893_lonn74p048002_h301p5_d.jpg,PC,ed_0139_retail_lat4p675893_lonn74p048002_h301p5_d,4.6758925649239735,-74.04800200466818,train
train\PC\ed_0140_generic_lat4p682835_lonn74p046591_h294p4_d.jpg,PC,ed_0140_generic_lat4p682835_lonn74p046591_h294p4_d,4.682834700000001,-74.04659115000001,train
train\DUAL\ed_0141_hotel_lat4p676354_lonn74p046989_h292p3_d.jpg,DUAL,ed_0141_hotel_lat4p676354_lonn74p046989_h292p3_d,4.676353700971133,-74.04698901726636,train
train\DUAL\ed_0145_retail_lat4p649111_lonn74p063340_h93p7_d.jpg,DUAL,ed_0145_retail_lat4p649111_lonn74p063340_h93p7_d,4.649111408398781,-74.06333977520251,train
train\MAS\ed_0148_house_lat4p630088_lonn74p060767_h27p4_d.jpg,MAS,ed_0148_house_lat4p630088_lonn74p060767_h27p4_d,4.6300882616967245,-74.06076700252434,train
train\MAS\ed_0152_generic_lat4p679420_lonn74p052036_h19p6_d.jpg,MAS,ed_0152_generic_lat4p679420_lonn74p052036_h19p6_d,4.67941985,-74.05203565,train
train\PC\ed_0156_retail_lat4p629230_lonn74p066353_h12p6_d.jpg,PC,ed_0156_retail_lat4p629230_lonn74p066353_h12p6_d,4.6292298649559,-74.06635326634148,train
train\PC\ed_0157_generic_lat4p632324_lonn74p064971_h271p1_d.jpg,PC,ed_0157_generic_lat4p632324_lonn74p064971_h271p1_d,4.632323734838858,-74.06497127954123,train
train\DUAL\ed_0159_generic_lat4p679160_lonn74p039203_h305p9_d.jpg,DUAL,ed_0159_generic_lat4p679160_lonn74p039203_h305p9_d,4.679159680029792,-74.03920318994241,train
train\DUAL\ed_0160_generic_lat4p683260_lonn74p056087_h13p3_d.jpg,DUAL,ed_0160_generic_lat4p683260_lonn74p056087_h13p3_d,4.68326015,-74.05608674999999,train
train\PC\ed_0161_generic_lat4p685149_lonn74p050251_h196p7_d.jpg,PC,ed_0161_generic_lat4p685149_lonn74p050251_h196p7_d,4.685149201825815,-74.0502507044173,train
train\DUAL\ed_0162_generic_lat4p673302_lonn74p052106_h290p1_d.jpg,DUAL,ed_0162_generic_lat4p673302_lonn74p052106_h290p1_d,4.67330185,-74.05210645,train
train\MAS\ed_0171_retail_lat4p666975_lonn74p051738_h129p8_d.jpg,MAS,ed_0171_retail_lat4p666975_lonn74p051738_h129p8_d,4.666974809944205,-74.05173770622484,train
train\DUAL\ed_0173_apartments_lat4p669303_lonn74p051192_h28p2_d.jpg,DUAL,ed_0173_apartments_lat4p669303_lonn74p051192_h28p2_d,4.669303436372494,-74.05119214656656,train
train\DUAL\ed_0175_generic_lat4p678753_lonn74p040283_h28p2_d.jpg,DUAL,ed_0175_generic_lat4p678753_lonn74p040283_h28p2_d,4.678753105006441,-74.04028316858303,train
train\DUAL\ed_0176_generic_lat4p678002_lonn74p043853_h36p9_d.jpg,DUAL,ed_0176_generic_lat4p678002_lonn74p043853_h36p9_d,4.678001836805358,-74.04385328418651,train
train\DUAL\ed_0177_generic_lat4p674403_lonn74p050766_h303p0_d.jpg,DUAL,ed_0177_generic_lat4p674403_lonn74p050766_h303p0_d,4.674403211088522,-74.05076602462377,train
train\MAS\ed_0178_retail_lat4p664572_lonn74p056455_h288p8_d.jpg,MAS,ed_0178_retail_lat4p664572_lonn74p056455_h288p8_d,4.664572234311656,-74.05645476597356,train
train\PC\ed_0179_generic_lat4p676533_lonn74p042657_h40p4_d.jpg,PC,ed_0179_generic_lat4p676533_lonn74p042657_h40p4_d,4.676532589506826,-74.04265673298427,train
train\PC\ed_0181_commercial_lat4p643711_lonn74p062085_h294p9_d.jpg,PC,ed_0181_commercial_lat4p643711_lonn74p062085_h294p9_d,4.643711301344946,-74.06208536829494,train
train\PC\ed_0183_office_lat4p676640_lonn74p047166_h122p7_d.jpg,PC,ed_0183_office_lat4p676640_lonn74p047166_h122p7_d,4.67664045,-74.04716599999999,train
train\MAS\ed_0184_generic_lat4p652005_lonn74p060526_h98p0_d.jpg,MAS,ed_0184_generic_lat4p652005_lonn74p060526_h98p0_d,4.652004750000001,-74.0605264,train
train\DUAL\ed_0185_apartments_lat4p679730_lonn74p055106_h208p2_d.jpg,DUAL,ed_0185_apartments_lat4p679730_lonn74p055106_h208p2_d,4.679729631958654,-74.05510570571256,train
train\DUAL\ed_0186_commercial_lat4p683782_lonn74p051118_h327p2_d.jpg,DUAL,ed_0186_commercial_lat4p683782_lonn74p051118_h327p2_d,4.683781860460456,-74.0511175246108,train
train\PC\ed_0188_apartments_lat4p638269_lonn74p062690_h292p6_d.jpg,PC,ed_0188_apartments_lat4p638269_lonn74p062690_h292p6_d,4.638269446607316,-74.06269025457283,train
train\DUAL\ed_0189_generic_lat4p678801_lonn74p054073_h302p9_d.jpg,DUAL,ed_0189_generic_lat4p678801_lonn74p054073_h302p9_d,4.678801482591811,-74.05407250138956,train
train\PC\ed_0193_generic_lat4p636296_lonn74p064429_h122p0_d.jpg,PC,ed_0193_generic_lat4p636296_lonn74p064429_h122p0_d,4.63629598406487,-74.0644292428513,train
train\PC\ed_0193_generic_lat4p636296_lonn74p064429_h122p0_d.jpg,PC,ed_0193_generic_lat4p636296_lonn74p064429_h122p0_d,4.63629598406487,-74.0644292428513,train
train\DUAL\ed_0194_office_lat4p675683_lonn74p049613_h123p8_d.jpg,DUAL,ed_0194_office_lat4p675683_lonn74p049613_h123p8_d,4.675683112753442,-74.04961317528392,train
train\DUAL\ed_0195_generic_lat4p669256_lonn74p058651_h121p2_d.jpg,DUAL,ed_0195_generic_lat4p669256_lonn74p058651_h121p2_d,4.669255856999586,-74.05865095167019,train
train\DUAL\ed_0197_office_lat4p676658_lonn74p046830_h303p4_d.jpg,DUAL,ed_0197_office_lat4p676658_lonn74p046830_h303p4_d,4.676657899304365,-74.04683043288674,train
train\PC\ed_0200_house_lat4p631198_lonn74p060480_h151p9_d.jpg,PC,ed_0200_house_lat4p631198_lonn74p060480_h151p9_d,4.631198093327437,-74.06048020455671,train
train\DUAL\ed_0201_apartments_lat4p662362_lonn74p048928_h139p3_d.jpg,DUAL,ed_0201_apartments_lat4p662362_lonn74p048928_h139p3_d,4.66236211818931,-74.04892780143668,train
train\PC\ed_0203_apartments_lat4p650679_lonn74p064156_h96p3_d.jpg,PC,ed_0203_apartments_lat4p650679_lonn74p064156_h96p3_d,4.650678631970986,-74.06415563416867,train
train\DUAL\ed_0204_generic_lat4p637260_lonn74p064121_h102p9_d.jpg,DUAL,ed_0204_generic_lat4p637260_lonn74p064121_h102p9_d,4.637260304635292,-74.06412146222188,train
train\DUAL\ed_0205_commercial_lat4p663460_lonn74p048674_h325p3_d.jpg,DUAL,ed_0205_commercial_lat4p663460_lonn74p048674_h325p3_d,4.663459863048463,-74.0486739001673,train
train\PC\ed_0208_generic_lat4p678419_lonn74p044075_h221p9_d.jpg,PC,ed_0208_generic_lat4p678419_lonn74p044075_h221p9_d,4.678418529916346,-74.04407534000357,train
train\MAS\ed_0212_generic_lat4p681277_lonn74p049944_h295p8_d.jpg,MAS,ed_0212_generic_lat4p681277_lonn74p049944_h295p8_d,4.681276656870149,-74.049943701512,train
train\DUAL\ed_0213_generic_lat4p681688_lonn74p056744_h358p0_d.jpg,DUAL,ed_0213_generic_lat4p681688_lonn74p056744_h358p0_d,4.68168845,-74.05674385000002,train
train\MAS\ed_0214_generic_lat4p659868_lonn74p058934_h226p1_d.jpg,MAS,ed_0214_generic_lat4p659868_lonn74p058934_h226p1_d,4.659867634867295,-74.05893371350021,train
train\PC\ed_0216_generic_lat4p636170_lonn74p066421_h188p7_d.jpg,PC,ed_0216_generic_lat4p636170_lonn74p066421_h188p7_d,4.636170279766097,-74.06642125211107,train
train\PC\ed_0217_residential_lat4p661196_lonn74p049232_h145p9_d.jpg,PC,ed_0217_residential_lat4p661196_lonn74p049232_h145p9_d,4.661196108304503,-74.04923208959163,train
train\DUAL\ed_0220_generic_lat4p649948_lonn74p062227_h229p5_d.jpg,DUAL,ed_0220_generic_lat4p649948_lonn74p062227_h229p5_d,4.649948375244418,-74.06222749686897,train
train\MAS\ed_0219_generic_lat4p645808_lonn74p059390_h99p5_d.jpg,MAS,ed_0219_generic_lat4p645808_lonn74p059390_h99p5_d,4.645807650000001,-74.05939000000001,train
train\DUAL\ed_0223_apartments_lat4p675258_lonn74p050498_h29p0_d.jpg,DUAL,ed_0223_apartments_lat4p675258_lonn74p050498_h29p0_d,4.675258231763028,-74.05049800532007,train
train\PC\ed_0225_generic_lat4p670131_lonn74p057078_h120p2_d.jpg,PC,ed_0225_generic_lat4p670131_lonn74p057078_h120p2_d,4.670131448449087,-74.05707848911986,train
train\PC\ed_0235_generic_lat4p628626_lonn74p065490_h121p5_d.jpg,PC,ed_0235_generic_lat4p628626_lonn74p065490_h121p5_d,4.628626436195776,-74.06549025974742,train
train\PC\ed_0238_generic_lat4p651083_lonn74p058143_h308p7_d.jpg,PC,ed_0238_generic_lat4p651083_lonn74p058143_h308p7_d,4.651083043397291,-74.05814300997297,train
train\DUAL\ed_0237_apartments_lat4p627887_lonn74p066567_h4p1_d.jpg,DUAL,ed_0237_apartments_lat4p627887_lonn74p066567_h4p1_d,4.627887260115922,-74.06656674337192,train
train\MAS\ed_0239_generic_lat4p679276_lonn74p056546_h8p6_d.jpg,MAS,ed_0239_generic_lat4p679276_lonn74p056546_h8p6_d,4.679276218035918,-74.05654564261724,train
train\MAS\ed_0240_generic_lat4p665111_lonn74p056736_h111p6_d.jpg,MAS,ed_0240_generic_lat4p665111_lonn74p056736_h111p6_d,4.665111282839651,-74.05673550583558,train
train\DUAL\ed_0242_generic_lat4p677887_lonn74p042253_h118p1_d.jpg,DUAL,ed_0242_generic_lat4p677887_lonn74p042253_h118p1_d,4.677886973880776,-74.04225285002306,train
train\PC\ed_0243_generic_lat4p681069_lonn74p047053_h108p2_d.jpg,PC,ed_0243_generic_lat4p681069_lonn74p047053_h108p2_d,4.681069082444294,-74.04705290960163,train
train\MAS\ed_0247_house_lat4p632910_lonn74p064589_h5p2_d.jpg,MAS,ed_0247_house_lat4p632910_lonn74p064589_h5p2_d,4.632909691658584,-74.06458949584054,train
train\MAS\ed_0246_generic_lat4p683312_lonn74p053760_h195p7_d.jpg,MAS,ed_0246_generic_lat4p683312_lonn74p053760_h195p7_d,4.683311796266488,-74.05375972812995,train
train\DUAL\ed_0249_apartments_lat4p666416_lonn74p047324_h207p1_d.jpg,DUAL,ed_0249_apartments_lat4p666416_lonn74p047324_h207p1_d,4.666415600581349,-74.04732380379116,train
train\DUAL\ed_0251_generic_lat4p649966_lonn74p061539_h116p2_d.jpg,DUAL,ed_0251_generic_lat4p649966_lonn74p061539_h116p2_d,4.649966499129452,-74.06153914842187,train
train\DUAL\ed_0250_apartments_lat4p671840_lonn74p045363_h199p4_d.jpg,DUAL,ed_0250_apartments_lat4p671840_lonn74p045363_h199p4_d,4.671839549441194,-74.04536303665688,train
train\MAS\ed_0253_generic_lat4p652722_lonn74p061638_h232p6_d.jpg,MAS,ed_0253_generic_lat4p652722_lonn74p061638_h232p6_d,4.652722003609698,-74.061637517952,train
train\DUAL\ed_0252_generic_lat4p677546_lonn74p042171_h289p5_d.jpg,DUAL,ed_0252_generic_lat4p677546_lonn74p042171_h289p5_d,4.677545895469541,-74.04217091523496,train
train\DUAL\ed_0254_apartments_lat4p664169_lonn74p047095_h154p3_d.jpg,DUAL,ed_0254_apartments_lat4p664169_lonn74p047095_h154p3_d,4.664169456711012,-74.0470945805545,train
train\PC\ed_0255_generic_lat4p652198_lonn74p063525_h10p9_d.jpg,PC,ed_0255_generic_lat4p652198_lonn74p063525_h10p9_d,4.652198158368664,-74.06352488610885,train
train\PC\ed_0256_commercial_lat4p643714_lonn74p064684_h197p6_d.jpg,PC,ed_0256_commercial_lat4p643714_lonn74p064684_h197p6_d,4.643714423783488,-74.06468351928542,train
train\MAS\ed_0260_generic_lat4p665030_lonn74p056785_h111p2_d.jpg,MAS,ed_0260_generic_lat4p665030_lonn74p056785_h111p2_d,4.665030375619219,-74.05678468429377,train
train\DUAL\ed_0263_hotel_lat4p675354_lonn74p047464_h295p0_d.jpg,DUAL,ed_0263_hotel_lat4p675354_lonn74p047464_h295p0_d,4.675354337672667,-74.04746422301668,train
train\MAS\ed_0264_generic_lat4p656472_lonn74p059037_h129p6_d.jpg,MAS,ed_0264_generic_lat4p656472_lonn74p059037_h129p6_d,4.656472262927569,-74.05903662153513,train
train\DUAL\ed_0265_generic_lat4p680021_lonn74p052893_h106p8_d.jpg,DUAL,ed_0265_generic_lat4p680021_lonn74p052893_h106p8_d,4.680021167010463,-74.0528934494821,train
train\MAS\ed_0266_house_lat4p630518_lonn74p061068_h302p9_d.jpg,MAS,ed_0266_house_lat4p630518_lonn74p061068_h302p9_d,4.630518295680677,-74.06106776929988,train
train\DUAL\ed_0267_apartments_lat4p680246_lonn74p052669_h195p5_d.jpg,DUAL,ed_0267_apartments_lat4p680246_lonn74p052669_h195p5_d,4.680246449602994,-74.05266881636301,train
train\DUAL\ed_0271_generic_lat4p675881_lonn74p058129_h310p9_d.jpg,DUAL,ed_0271_generic_lat4p675881_lonn74p058129_h310p9_d,4.67588055,-74.0581287,train
train\DUAL\ed_0270_apartments_lat4p665055_lonn74p046543_h119p3_d.jpg,DUAL,ed_0270_apartments_lat4p665055_lonn74p046543_h119p3_d,4.665054658706183,-74.04654345910757,train
train\PC\ed_0272_generic_lat4p648429_lonn74p062917_h292p8_d.jpg,PC,ed_0272_generic_lat4p648429_lonn74p062917_h292p8_d,4.648428611008336,-74.06291666862364,train
train\DUAL\ed_0273_generic_lat4p675525_lonn74p057645_h22p0_d.jpg,DUAL,ed_0273_generic_lat4p675525_lonn74p057645_h22p0_d,4.675524742331582,-74.05764539934553,train
train\MAS\ed_0276_generic_lat4p652743_lonn74p061067_h25p6_d.jpg,MAS,ed_0276_generic_lat4p652743_lonn74p061067_h25p6_d,4.652743327310152,-74.06106683468683,train
train\DUAL\ed_0277_apartments_lat4p680152_lonn74p040360_h130p0_d.jpg,DUAL,ed_0277_apartments_lat4p680152_lonn74p040360_h130p0_d,4.680152499999999,-74.04036035,train
train\PC\ed_0280_generic_lat4p679784_lonn74p040492_h206p8_d.jpg,PC,ed_0280_generic_lat4p679784_lonn74p040492_h206p8_d,4.67978358222242,-74.04049175226223,train
train\MAS\ed_0281_commercial_lat4p628686_lonn74p067182_h291p8_d.jpg,MAS,ed_0281_commercial_lat4p628686_lonn74p067182_h291p8_d,4.628685752941785,-74.0671824668379,train
train\DUAL\ed_0282_apartments_lat4p672804_lonn74p055162_h215p8_d.jpg,DUAL,ed_0282_apartments_lat4p672804_lonn74p055162_h215p8_d,4.672804449999999,-74.055162,train
train\DUAL\ed_0285_generic_lat4p628237_lonn74p067269_h293p4_d.jpg,DUAL,ed_0285_generic_lat4p628237_lonn74p067269_h293p4_d,4.628236816877921,-74.06726908174475,train
train\DUAL\ed_0284_generic_lat4p680807_lonn74p051029_h41p3_d.jpg,DUAL,ed_0284_generic_lat4p680807_lonn74p051029_h41p3_d,4.680806914253726,-74.05102868439437,train
train\DUAL\ed_0286_generic_lat4p662426_lonn74p049734_h219p3_d.jpg,DUAL,ed_0286_generic_lat4p662426_lonn74p049734_h219p3_d,4.6624263051025965,-74.04973358752885,train
train\DUAL\ed_0289_generic_lat4p683977_lonn74p054755_h111p2_d.jpg,DUAL,ed_0289_generic_lat4p683977_lonn74p054755_h111p2_d,4.68397685,-74.05475459999998,train
